chr,coordinate,strand,IPD_ratio,methy_level,low_95,up_95
ecoliK12_MG1655,10601,+,5.8,1,0.916,1
ecoliK12_MG1655,10602,-,6.16,1,0.92,1
ecoliK12_MG1655,11328,-,8.33,1,0.891,1
ecoliK12_MG1655,11494,+,5.59,1,1,1
ecoliK12_MG1655,11495,-,4.01,1,0.823,1
ecoliK12_MG1655,11664,+,4.94,0.872,0.725,1
ecoliK12_MG1655,11665,-,6.6,0.985,0.985,1
ecoliK12_MG1655,12260,+,6.4,1,0.956,1
ecoliK12_MG1655,12261,-,6.27,1,0.97,1
ecoliK12_MG1655,12871,+,5.07,0.999,0.973,1
ecoliK12_MG1655,12872,-,4.11,0.95,0.78,1
ecoliK12_MG1655,12902,+,4.9,0.94,0.722,1
ecoliK12_MG1655,12903,-,4.99,0.959,0.778,1
ecoliK12_MG1655,12926,+,5,0.983,0.838,1
ecoliK12_MG1655,12927,-,5.98,0.936,0.788,1
ecoliK12_MG1655,13094,+,5.08,1,0.983,1
ecoliK12_MG1655,13095,-,6.43,0.903,0.731,1
ecoliK12_MG1655,13396,+,8.14,1,0.967,1
ecoliK12_MG1655,13397,-,5.97,0.976,0.825,1
ecoliK12_MG1655,13494,+,5.53,1,0.775,1
ecoliK12_MG1655,13503,-,6.64,1,1,1
ecoliK12_MG1655,13576,+,5.61,0.926,0.753,1
ecoliK12_MG1655,13577,-,6.44,0.999,0.886,1
ecoliK12_MG1655,13657,+,6.88,1,0.954,1
ecoliK12_MG1655,13658,-,6.36,0.964,0.928,0.999
ecoliK12_MG1655,14315,+,6.47,1,1,1
ecoliK12_MG1655,14316,-,5.1,0.953,0.726,1
ecoliK12_MG1655,14367,+,5.52,1,0.849,1
ecoliK12_MG1655,14368,-,6.42,0.998,0.98,1
ecoliK12_MG1655,14573,+,8.03,1,0.918,1
ecoliK12_MG1655,14574,-,5.31,1,0.897,1
ecoliK12_MG1655,14744,+,4.69,0.899,0.703,0.997
ecoliK12_MG1655,14745,-,5.28,0.997,0.878,1
ecoliK12_MG1655,14752,-,6.5,0.975,0.884,0.985
ecoliK12_MG1655,14895,+,7.51,1,0.928,1
ecoliK12_MG1655,14896,-,7.24,1,0.917,1
ecoliK12_MG1655,14972,+,5.27,0.999,0.886,1
ecoliK12_MG1655,14973,-,5.16,0.914,0.747,1
ecoliK12_MG1655,15382,+,5.01,1,0.819,1
ecoliK12_MG1655,15383,-,7.86,1,0.957,1
ecoliK12_MG1655,15851,+,6.19,1,0.882,1
ecoliK12_MG1655,15852,-,6.91,0.989,0.822,1
ecoliK12_MG1655,16540,-,6.12,1,1,1
ecoliK12_MG1655,16731,+,4.54,0.985,0.802,1
ecoliK12_MG1655,16732,-,6.19,1,0.906,1
ecoliK12_MG1655,16869,+,5.1,0.949,0.779,1
ecoliK12_MG1655,17461,+,5.77,1,1,1
ecoliK12_MG1655,17462,-,7.63,1,0.983,1
ecoliK12_MG1655,17746,+,6.29,1,1,1
ecoliK12_MG1655,17747,-,6.68,1,1,1
ecoliK12_MG1655,17844,+,6.58,0.983,0.856,1
ecoliK12_MG1655,17845,-,6.28,1,0.913,1
ecoliK12_MG1655,17870,+,4.67,0.972,0.772,1
ecoliK12_MG1655,17871,-,6.93,0.992,0.988,1
ecoliK12_MG1655,17948,+,5.58,1,0.858,1
ecoliK12_MG1655,17949,-,6.79,1,0.92,1
ecoliK12_MG1655,17979,+,6.79,1,0.882,1
ecoliK12_MG1655,17980,-,5.73,1,1,1
ecoliK12_MG1655,18363,-,4.75,0.977,0.822,1
ecoliK12_MG1655,18549,+,5.19,1,0.903,1
ecoliK12_MG1655,18550,-,6.94,1,0.978,1
ecoliK12_MG1655,19156,+,7.15,1,0.92,1
ecoliK12_MG1655,19157,-,4.6,0.94,0.742,1
ecoliK12_MG1655,20831,+,5.55,1,0.926,1
ecoliK12_MG1655,20832,-,5.96,1,0.969,1
ecoliK12_MG1655,20879,+,5.96,0.948,0.779,1
ecoliK12_MG1655,20880,-,6.44,1,0.941,1
ecoliK12_MG1655,20909,+,4.75,1,0.888,1
ecoliK12_MG1655,21735,+,4.71,1,0.886,1
ecoliK12_MG1655,21736,-,6.47,1,0.918,1
ecoliK12_MG1655,22449,+,5.71,1,0.957,1
ecoliK12_MG1655,22450,-,6.06,0.958,0.837,1
ecoliK12_MG1655,22497,+,5.25,0.953,0.795,1
ecoliK12_MG1655,22498,-,5.37,0.892,0.719,1
ecoliK12_MG1655,22694,+,5.2,1,0.977,1
ecoliK12_MG1655,22695,-,5.49,1,0.934,1
ecoliK12_MG1655,23044,-,4.94,0.995,0.962,1
ecoliK12_MG1655,23186,+,4.26,1,0.895,1
ecoliK12_MG1655,23187,-,7.52,0.916,0.762,1
ecoliK12_MG1655,23218,-,7.83,1,0.946,1
ecoliK12_MG1655,23352,+,5.06,1,0.869,1
ecoliK12_MG1655,23353,-,5.99,0.926,0.767,1
ecoliK12_MG1655,23423,+,5.33,1,0.943,1
ecoliK12_MG1655,23424,-,7.23,1,0.985,1
ecoliK12_MG1655,23627,+,5.29,1,0.998,1
ecoliK12_MG1655,23667,+,5.22,0.935,0.82,1
ecoliK12_MG1655,23668,-,5.13,0.986,0.825,1
ecoliK12_MG1655,23720,+,5.37,0.934,0.735,1
ecoliK12_MG1655,23721,-,4.24,1,0.993,1
ecoliK12_MG1655,23920,-,6.15,0.955,0.788,1
ecoliK12_MG1655,23937,-,4.55,0.942,0.724,1
ecoliK12_MG1655,23955,+,6.26,1,0.978,1
ecoliK12_MG1655,24004,+,6.27,1,0.906,1
ecoliK12_MG1655,24005,-,7.51,1,1,1
ecoliK12_MG1655,24116,+,5.11,0.97,0.777,1
ecoliK12_MG1655,24117,-,5.11,0.934,0.771,1
ecoliK12_MG1655,24320,+,6.92,1,0.873,1
ecoliK12_MG1655,24321,-,5.95,0.984,0.826,1
ecoliK12_MG1655,24399,+,3.3,0.958,0.752,1
ecoliK12_MG1655,24444,+,5.59,0.905,0.714,1
ecoliK12_MG1655,24445,-,3.98,1,0.848,1
ecoliK12_MG1655,25220,-,7.13,1,1,1
ecoliK12_MG1655,25274,+,5.81,1,0.921,1
ecoliK12_MG1655,25275,-,6.4,1,1,1
ecoliK12_MG1655,25295,-,6.24,0.982,0.899,1
ecoliK12_MG1655,25450,+,7.55,0.998,0.903,1
ecoliK12_MG1655,25451,-,6.62,1,0.985,1
ecoliK12_MG1655,25579,+,4.59,0.979,0.879,1
ecoliK12_MG1655,25580,-,6.76,1,0.993,1
ecoliK12_MG1655,26162,+,5.79,0.829,0.665,0.963
ecoliK12_MG1655,26163,-,6.79,1,1,1
ecoliK12_MG1655,26256,+,8.65,1,1,1
ecoliK12_MG1655,26257,-,5.92,1,0.995,1
ecoliK12_MG1655,26283,+,5.89,0.952,0.786,1
ecoliK12_MG1655,26284,-,7.11,1,0.845,1
ecoliK12_MG1655,26478,+,7.12,0.96,0.797,1
ecoliK12_MG1655,26479,-,8.92,0.999,0.941,1
ecoliK12_MG1655,26808,+,6.85,0.969,0.828,1
ecoliK12_MG1655,26809,-,4.53,0.948,0.767,1
ecoliK12_MG1655,27734,+,5.78,1,0.854,1
ecoliK12_MG1655,27735,-,7.68,0.956,0.819,1
ecoliK12_MG1655,27798,+,5.4,1,0.962,1
ecoliK12_MG1655,27993,+,6.41,0.998,0.835,1
ecoliK12_MG1655,27994,-,7.39,1,0.985,1
ecoliK12_MG1655,28149,+,7.06,0.997,0.841,1
ecoliK12_MG1655,28150,-,5.47,1,0.948,1
ecoliK12_MG1655,28496,+,5.79,1,0.848,1
ecoliK12_MG1655,28497,-,6.9,1,0.946,1
ecoliK12_MG1655,28675,-,4.81,1,0.88,1
ecoliK12_MG1655,28680,+,5.23,1,0.873,1
ecoliK12_MG1655,28689,-,7.09,0.989,0.97,1
ecoliK12_MG1655,28905,+,5.34,1,1,1
ecoliK12_MG1655,28906,-,5.75,1,0.967,1
ecoliK12_MG1655,28927,+,7.02,1,1,1
ecoliK12_MG1655,28928,-,4.7,0.906,0.737,1
ecoliK12_MG1655,29070,+,4.37,1,1,1
ecoliK12_MG1655,29071,-,6.21,0.93,0.748,1
ecoliK12_MG1655,29121,-,6.82,1,0.913,1
ecoliK12_MG1655,29445,+,6.79,0.979,0.836,1
ecoliK12_MG1655,29446,-,5.29,0.871,0.738,1
ecoliK12_MG1655,29784,+,6,0.942,0.809,0.995
ecoliK12_MG1655,29785,-,5.38,0.985,0.808,1
ecoliK12_MG1655,30120,+,5.29,0.993,0.881,1
ecoliK12_MG1655,30121,-,4.46,0.984,0.814,1
ecoliK12_MG1655,30569,+,7.31,0.991,0.868,1
ecoliK12_MG1655,30570,-,6.65,0.976,0.834,1
ecoliK12_MG1655,31406,+,5.48,0.979,0.857,1
ecoliK12_MG1655,31407,-,7.35,1,0.984,1
ecoliK12_MG1655,31447,+,5.48,1,0.934,1
ecoliK12_MG1655,31448,-,5.8,0.979,0.816,1
ecoliK12_MG1655,32117,+,8.08,1,0.868,1
ecoliK12_MG1655,32118,-,6.96,1,0.883,1
ecoliK12_MG1655,33639,+,5.67,0.986,0.854,1
ecoliK12_MG1655,33648,-,5.67,1,0.952,1
ecoliK12_MG1655,34030,+,4.23,0.961,0.803,1
ecoliK12_MG1655,34031,-,6.16,0.985,0.843,1
ecoliK12_MG1655,34077,+,5.46,0.985,0.985,1
ecoliK12_MG1655,34078,-,6.6,1,1,1
ecoliK12_MG1655,34387,+,4.96,1,0.848,1
ecoliK12_MG1655,34388,-,6.33,1,0.985,1
ecoliK12_MG1655,34483,+,4.23,0.905,0.752,1
ecoliK12_MG1655,34484,-,4.85,0.955,0.766,1
ecoliK12_MG1655,34780,+,5.83,1,0.983,1
ecoliK12_MG1655,34781,-,7.17,1,0.942,1
ecoliK12_MG1655,34889,+,6.8,0.948,0.812,1
ecoliK12_MG1655,34890,-,5.49,0.971,0.803,1
ecoliK12_MG1655,35118,+,6.91,0.958,0.825,1
ecoliK12_MG1655,35119,-,5.74,0.985,0.867,1
ecoliK12_MG1655,35220,+,5.67,1,0.959,1
ecoliK12_MG1655,35221,-,6.14,0.992,0.899,1
ecoliK12_MG1655,35398,+,9.62,0.997,0.996,1
ecoliK12_MG1655,35399,-,5.81,1,0.98,1
ecoliK12_MG1655,35535,-,4.91,1,1,1
ecoliK12_MG1655,35717,+,5.34,0.896,0.733,1
ecoliK12_MG1655,36031,+,7.85,0.997,0.852,1
ecoliK12_MG1655,36032,-,7.03,0.984,0.827,1
ecoliK12_MG1655,36106,+,4.98,1,0.843,1
ecoliK12_MG1655,36107,-,9.04,1,0.953,1
ecoliK12_MG1655,36129,+,3.1,0.988,0.911,1
ecoliK12_MG1655,36130,-,4.95,0.928,0.758,1
ecoliK12_MG1655,36319,+,5.06,0.945,0.799,1
ecoliK12_MG1655,36320,-,6.26,1,0.971,1
ecoliK12_MG1655,36329,+,4.81,0.92,0.761,1
ecoliK12_MG1655,36330,-,6.43,1,0.939,1
ecoliK12_MG1655,36571,+,5.09,0.913,0.748,1
ecoliK12_MG1655,36572,-,6.48,1,0.959,1
ecoliK12_MG1655,36728,+,4.73,0.985,0.803,1
ecoliK12_MG1655,36729,-,6.58,1,0.927,1
ecoliK12_MG1655,36757,+,7.38,1,0.858,1
ecoliK12_MG1655,36758,-,6.36,0.907,0.743,1
ecoliK12_MG1655,36767,+,9.05,1,0.974,1
ecoliK12_MG1655,36768,-,5.66,0.884,0.716,1
ecoliK12_MG1655,36832,+,5.39,0.885,0.715,1
ecoliK12_MG1655,36833,-,5.44,1,0.835,1
ecoliK12_MG1655,36970,+,4.49,0.892,0.702,1
ecoliK12_MG1655,36971,-,6.03,1,0.895,1
ecoliK12_MG1655,37007,+,5.7,0.987,0.809,1
ecoliK12_MG1655,37008,-,5.05,0.897,0.735,1
ecoliK12_MG1655,37514,+,4.85,0.952,0.753,1
ecoliK12_MG1655,37515,-,5.51,1,0.886,1
ecoliK12_MG1655,37780,+,4.64,0.899,0.746,1
ecoliK12_MG1655,37781,-,6.65,1,0.938,1
ecoliK12_MG1655,38426,+,5.57,0.884,0.719,1
ecoliK12_MG1655,38427,-,5.23,0.951,0.802,1
ecoliK12_MG1655,38988,+,6.14,0.985,0.985,1
ecoliK12_MG1655,38989,-,4.24,0.941,0.767,1
ecoliK12_MG1655,39110,+,6.43,0.993,0.967,1
ecoliK12_MG1655,39111,-,4.98,0.927,0.718,1
ecoliK12_MG1655,39284,+,8.32,1,0.871,1
ecoliK12_MG1655,39285,-,5.66,0.954,0.802,1
ecoliK12_MG1655,39300,+,6.81,1,0.841,1
ecoliK12_MG1655,39328,+,5.44,1,1,1
ecoliK12_MG1655,39329,-,5.22,0.988,0.896,1
ecoliK12_MG1655,39524,+,6.1,1,0.876,1
ecoliK12_MG1655,39525,-,6.98,0.996,0.951,1
ecoliK12_MG1655,40070,+,7.49,1,0.977,1
ecoliK12_MG1655,40071,-,5.69,0.907,0.714,1
ecoliK12_MG1655,40220,+,6.19,0.997,0.849,1
ecoliK12_MG1655,40221,-,6.07,1,0.962,1
ecoliK12_MG1655,40779,-,4.39,1,0.947,1
ecoliK12_MG1655,40850,+,8.11,1,0.951,1
ecoliK12_MG1655,41017,+,5.29,0.994,0.891,1
ecoliK12_MG1655,41330,+,5.83,1,0.95,1
ecoliK12_MG1655,41598,-,3.51,1,0.79,1
ecoliK12_MG1655,41607,+,7.13,1,1,1
ecoliK12_MG1655,41608,-,5.17,0.992,0.973,1
ecoliK12_MG1655,41657,+,6.61,1,1,1
ecoliK12_MG1655,41658,-,5.63,0.968,0.898,0.994
ecoliK12_MG1655,41836,+,5.29,0.976,0.779,1
ecoliK12_MG1655,41837,-,5.38,0.88,0.729,1
ecoliK12_MG1655,42195,+,6.35,0.998,0.931,1
ecoliK12_MG1655,42196,-,6.58,1,0.933,1
ecoliK12_MG1655,42515,+,7.58,1,0.904,1
ecoliK12_MG1655,42516,-,4.82,0.959,0.801,1
ecoliK12_MG1655,42743,+,6.45,0.989,0.846,1
ecoliK12_MG1655,42748,+,6.67,0.972,0.747,1
ecoliK12_MG1655,42749,-,4.86,0.986,0.811,1
ecoliK12_MG1655,43135,+,7.59,1,0.967,1
ecoliK12_MG1655,43136,-,5.19,1,0.97,1
ecoliK12_MG1655,43369,+,4.19,1,0.949,1
ecoliK12_MG1655,43377,+,5.43,1,0.853,1
ecoliK12_MG1655,43378,-,4.49,0.934,0.773,1
ecoliK12_MG1655,43759,+,5.56,0.906,0.735,1
ecoliK12_MG1655,43968,+,5.53,0.921,0.71,1
ecoliK12_MG1655,43969,-,4.65,0.855,0.707,1
ecoliK12_MG1655,43980,+,4.17,1,0.997,1
ecoliK12_MG1655,43981,-,4.91,0.94,0.74,1
ecoliK12_MG1655,44049,+,4.94,1,0.853,1
ecoliK12_MG1655,44094,+,7.65,1,0.993,1
ecoliK12_MG1655,44095,-,6.22,0.93,0.714,1
ecoliK12_MG1655,44129,+,6.42,0.981,0.892,1
ecoliK12_MG1655,44393,+,4.16,1,1,1
ecoliK12_MG1655,44394,-,4.91,0.966,0.759,1
ecoliK12_MG1655,44564,+,6.09,0.895,0.743,1
ecoliK12_MG1655,44565,-,5.8,0.959,0.787,1
ecoliK12_MG1655,44648,+,6.97,0.99,0.874,1
ecoliK12_MG1655,44649,-,5.9,1,0.964,1
ecoliK12_MG1655,44744,+,4.75,1,0.831,1
ecoliK12_MG1655,44821,+,4.22,1,0.804,1
ecoliK12_MG1655,44822,-,7.12,0.99,0.891,1
ecoliK12_MG1655,44981,+,4.28,0.902,0.718,1
ecoliK12_MG1655,45132,+,6.31,1,0.885,1
ecoliK12_MG1655,45133,-,3.86,0.942,0.71,1
ecoliK12_MG1655,46014,+,4.26,1,0.824,1
ecoliK12_MG1655,46023,-,7.12,1,0.911,1
ecoliK12_MG1655,46197,+,5.09,0.943,0.755,0.995
ecoliK12_MG1655,46198,-,5.46,1,0.868,1
ecoliK12_MG1655,46282,+,5.9,0.945,0.745,1
ecoliK12_MG1655,46283,-,6.01,0.977,0.809,1
ecoliK12_MG1655,46347,+,4.83,0.987,0.825,1
ecoliK12_MG1655,46348,-,6.56,0.992,0.895,1
ecoliK12_MG1655,46446,+,4.74,0.945,0.742,1
ecoliK12_MG1655,46510,+,4.89,1,0.839,1
ecoliK12_MG1655,46511,-,7.35,1,0.941,1
ecoliK12_MG1655,46575,+,9.33,1,0.927,1
ecoliK12_MG1655,46576,-,6.41,1,0.893,1
ecoliK12_MG1655,46806,+,5.56,0.988,0.92,0.998
ecoliK12_MG1655,46807,-,6.37,1,0.924,1
ecoliK12_MG1655,46981,-,3.91,0.917,0.747,1
ecoliK12_MG1655,47115,+,4.76,0.926,0.753,1
ecoliK12_MG1655,47116,-,5.88,1,0.912,1
ecoliK12_MG1655,47415,+,6.31,1,0.967,1
ecoliK12_MG1655,47421,-,5.15,1,0.851,1
ecoliK12_MG1655,47477,+,4.93,0.996,0.877,1
ecoliK12_MG1655,47478,-,5.3,1,0.864,1
ecoliK12_MG1655,47855,+,6.61,0.997,0.848,1
ecoliK12_MG1655,47856,-,6.06,0.951,0.798,1
ecoliK12_MG1655,47874,+,6.64,0.956,0.805,1
ecoliK12_MG1655,47875,-,4.66,1,0.837,1
ecoliK12_MG1655,47992,+,5.05,1,0.919,1
ecoliK12_MG1655,47993,-,5.47,0.997,0.996,1
ecoliK12_MG1655,48120,+,4.87,0.941,0.765,1
ecoliK12_MG1655,48121,-,5.16,0.903,0.746,1
ecoliK12_MG1655,48246,+,6.19,1,1,1
ecoliK12_MG1655,48247,-,5.09,0.99,0.842,1
ecoliK12_MG1655,48897,+,5.2,0.915,0.731,1
ecoliK12_MG1655,48898,-,3.96,0.958,0.738,1
ecoliK12_MG1655,48951,+,6.3,0.958,0.754,1
ecoliK12_MG1655,48952,-,6.47,0.984,0.802,1
ecoliK12_MG1655,49054,+,5.31,0.985,0.836,1
ecoliK12_MG1655,49055,-,4.16,1,0.853,1
ecoliK12_MG1655,49060,+,6.39,0.882,0.722,1
ecoliK12_MG1655,49061,-,6.21,0.938,0.726,1
ecoliK12_MG1655,49186,+,8,0.967,0.801,1
ecoliK12_MG1655,49513,-,6.13,0.911,0.766,1
ecoliK12_MG1655,49854,+,5.24,0.945,0.789,1
ecoliK12_MG1655,49855,-,3.11,1,1,1
ecoliK12_MG1655,49902,+,6,1,0.985,1
ecoliK12_MG1655,49903,-,4.98,1,0.884,1
ecoliK12_MG1655,50031,+,6.88,1,0.993,1
ecoliK12_MG1655,50032,-,4.51,0.985,0.8,1
ecoliK12_MG1655,50839,+,5.15,0.985,0.842,1
ecoliK12_MG1655,50855,+,5.26,0.988,0.807,1
ecoliK12_MG1655,50856,-,4.28,0.926,0.727,1
ecoliK12_MG1655,50971,+,5.06,1,0.992,1
ecoliK12_MG1655,50972,-,4.77,0.987,0.838,1
ecoliK12_MG1655,50993,+,9.13,1,0.984,1
ecoliK12_MG1655,50994,-,6.5,1,0.922,1
ecoliK12_MG1655,51022,+,7.42,1,0.9,1
ecoliK12_MG1655,51023,-,7.57,1,0.87,1
ecoliK12_MG1655,51112,+,6.81,0.95,0.768,1
ecoliK12_MG1655,51113,-,6.5,0.996,0.993,1
ecoliK12_MG1655,51173,+,5.04,0.974,0.73,1
ecoliK12_MG1655,51174,-,8.17,1,0.958,1
ecoliK12_MG1655,51302,+,6.29,0.996,0.904,1
ecoliK12_MG1655,51303,-,5.02,0.981,0.793,1
ecoliK12_MG1655,51452,+,5.67,1,0.99,1
ecoliK12_MG1655,51602,+,5,0.888,0.735,1
ecoliK12_MG1655,51603,-,6.23,0.994,0.831,1
ecoliK12_MG1655,51703,+,5.92,0.955,0.743,1
ecoliK12_MG1655,51704,-,5.7,0.995,0.92,1
ecoliK12_MG1655,51919,+,5.42,1,0.986,1
ecoliK12_MG1655,52222,-,6.33,1,1,1
ecoliK12_MG1655,52354,+,4.82,0.979,0.816,1
ecoliK12_MG1655,52355,-,4.91,0.998,0.832,1
ecoliK12_MG1655,52617,-,5.58,1,0.91,1
ecoliK12_MG1655,53067,+,7.15,0.883,0.737,1
ecoliK12_MG1655,53068,-,5.8,0.969,0.741,1
ecoliK12_MG1655,53391,+,5.48,0.925,0.819,1
ecoliK12_MG1655,53518,+,5.61,0.962,0.811,1
ecoliK12_MG1655,53519,-,4.62,0.945,0.763,1
ecoliK12_MG1655,53653,+,5.41,1,0.936,1
ecoliK12_MG1655,53654,-,6.16,1,0.872,1
ecoliK12_MG1655,53684,-,6.3,0.992,0.833,1
ecoliK12_MG1655,53710,+,5.66,0.976,0.817,1
ecoliK12_MG1655,53711,-,6.67,0.999,0.999,1
ecoliK12_MG1655,53814,-,6.07,0.927,0.77,1
ecoliK12_MG1655,53978,+,4.96,0.955,0.805,1
ecoliK12_MG1655,53979,-,5.62,0.957,0.784,1
ecoliK12_MG1655,54091,+,5.55,1,0.945,1
ecoliK12_MG1655,54133,+,5.52,0.895,0.706,1
ecoliK12_MG1655,54162,-,7.74,0.994,0.826,1
ecoliK12_MG1655,54266,+,4.8,1,1,1
ecoliK12_MG1655,54275,-,4.12,0.925,0.817,1
ecoliK12_MG1655,54308,+,5,1,0.993,1
ecoliK12_MG1655,54309,-,5.52,1,0.913,1
ecoliK12_MG1655,54367,+,4.47,1,1,1
ecoliK12_MG1655,54368,-,7.59,0.984,0.793,1
ecoliK12_MG1655,54412,+,6.5,1,0.983,1
ecoliK12_MG1655,54413,-,4.27,0.988,0.799,1
ecoliK12_MG1655,54472,+,4.95,1,0.867,1
ecoliK12_MG1655,54473,-,4.28,1,0.899,1
ecoliK12_MG1655,54593,+,5.88,0.967,0.787,1
ecoliK12_MG1655,54662,+,5.98,1,0.881,1
ecoliK12_MG1655,54663,-,5.24,0.956,0.74,1
ecoliK12_MG1655,55025,+,5.17,1,0.874,1
ecoliK12_MG1655,55026,-,5.25,0.906,0.712,1
ecoliK12_MG1655,55547,+,6.93,0.965,0.808,1
ecoliK12_MG1655,55548,-,6.37,1,1,1
ecoliK12_MG1655,56102,+,7.74,1,0.817,1
ecoliK12_MG1655,56103,-,5.9,0.969,0.766,1
ecoliK12_MG1655,56144,+,4.23,0.945,0.756,1
ecoliK12_MG1655,56145,-,4.69,1,0.883,1
ecoliK12_MG1655,56421,+,4.93,0.982,0.833,1
ecoliK12_MG1655,56481,+,5.52,0.932,0.702,1
ecoliK12_MG1655,56482,-,5.05,0.962,0.785,1
ecoliK12_MG1655,56518,-,5.39,1,0.838,1
ecoliK12_MG1655,57766,+,5.58,1,0.96,1
ecoliK12_MG1655,57850,+,6.8,0.995,0.842,1
ecoliK12_MG1655,57851,-,8.36,1,0.984,1
ecoliK12_MG1655,58934,+,6.18,1,0.887,1
ecoliK12_MG1655,59045,+,6.7,1,0.948,1
ecoliK12_MG1655,59054,-,6.07,0.999,0.841,1
ecoliK12_MG1655,59408,+,4.08,0.968,0.766,1
ecoliK12_MG1655,59409,-,4.37,0.903,0.73,1
ecoliK12_MG1655,59813,+,6.28,1,0.857,1
ecoliK12_MG1655,60011,+,4.1,0.931,0.736,1
ecoliK12_MG1655,60012,-,7.12,1,0.956,1
ecoliK12_MG1655,60377,+,4.94,1,0.888,1
ecoliK12_MG1655,60412,+,6.97,0.937,0.797,1
ecoliK12_MG1655,60413,-,5.83,0.993,0.925,0.995
ecoliK12_MG1655,60582,-,4.91,0.974,0.774,1
ecoliK12_MG1655,60893,+,5.47,0.919,0.716,1
ecoliK12_MG1655,60894,-,5.02,0.947,0.789,1
ecoliK12_MG1655,60899,-,6.33,0.923,0.776,1
